ID;StationStart;Line;TimeStart;StationEnd;TimeEnd;global_id;
Локальный идентификатор;Станция отправления;Направление Аэроэкспресс;Время отправления со станции;Конечная станция направления Аэроэкспресс;Время прибытия на конечную станцию направления Аэроэкспресс;global_id;
269;Аэропорт Шереметьево;В Шереметьево;10:25;Окружная;11:16;2449495157;
307;Аэропорт Шереметьево;В Шереметьево;10:25;Белорусский вокзал;11:37;2449495203;
231;Аэропорт Шереметьево;В Шереметьево;10:25;Савёловская;11:31;2449500459;
382;Окружная;В Шереметьево;10:27;Аэропорт Шереметьево;11:18;2449492746;
83;Павелецкий вокзал;В Домодедово;10:30;Аэропорт Домодедово;11:18;2449492122;
157;Аэропорт Домодедово;В Домодедово;10:30;Павелецкий вокзал;11:18;2449495023;
194;Аэропорт Домодедово;В Домодедово;10:30;Верхние Котлы;11:10;2449495066;
345;Белорусский вокзал;В Шереметьево;10:36;Аэропорт Шереметьево;11:48;2449492671;
120;Верхние Котлы;В Домодедово;10:38;Аэропорт Домодедово;11:18;2449492218;
421;Савёловская;В Шереметьево;10:42;Аэропорт Шереметьево;11:48;2449495262;
270;Аэропорт Шереметьево;В Шереметьево;10:55;Окружная;11:46;2449495158;
308;Аэропорт Шереметьево;В Шереметьево;10:55;Белорусский вокзал;12:07;2449495204;
232;Аэропорт Шереметьево;В Шереметьево;10:55;Савёловская;12:01;2449500507;
383;Окружная;В Шереметьево;10:57;Аэропорт Шереметьево;11:48;2449492748;
6;Киевский вокзал;Во Внуково;11:00;Аэропорт Внуково;11:33;2449491977;
84;Павелецкий вокзал;В Домодедово;11:00;Аэропорт Домодедово;11:48;2449492124;
158;Аэропорт Домодедово;В Домодедово;11:00;Павелецкий вокзал;11:46;2449495024;
195;Аэропорт Домодедово;В Домодедово;11:00;Верхние Котлы;11:39;2449495067;
346;Белорусский вокзал;В Шереметьево;11:06;Аэропорт Шереметьево;12:18;2449492674;
121;Верхние Котлы;В Домодедово;11:08;Аэропорт Домодедово;11:48;2449492219;
24;Аминьевская;Во Внуково;11:10;Аэропорт Внуково;11:33;2449494960;
422;Савёловская;В Шереметьево;11:12;Аэропорт Шереметьево;12:18;2449495264;
42;Аэропорт Внуково;Во Внуково;11:15;Киевский вокзал;11:48;2449494978;
60;Аэропорт Внуково;Во Внуково;11:15;Аминьевская;11:36;2449494996;
271;Аэропорт Шереметьево;В Шереметьево;11:25;Окружная;12:16;2449495159;
309;Аэропорт Шереметьево;В Шереметьево;11:25;Белорусский вокзал;12:37;2449495205;
233;Аэропорт Шереметьево;В Шереметьево;11:25;Савёловская;12:31;2449500616;
384;Окружная;В Шереметьево;11:27;Аэропорт Шереметьево;12:18;2449492750;
85;Павелецкий вокзал;В Домодедово;11:30;Аэропорт Домодедово;12:17;2449492154;
159;Аэропорт Домодедово;В Домодедово;11:30;Павелецкий вокзал;12:17;2449495025;
196;Аэропорт Домодедово;В Домодедово;11:30;Верхние Котлы;12:10;2449495068;
347;Белорусский вокзал;В Шереметьево;11:36;Аэропорт Шереметьево;12:38;2449492676;
122;Верхние Котлы;В Домодедово;11:38;Аэропорт Домодедово;12:17;2449492221;
423;Савёловская;В Шереметьево;11:42;Аэропорт Шереметьево;12:38;2449495265;
272;Аэропорт Шереметьево;В Шереметьево;11:55;Окружная;12:46;2449495160;
310;Аэропорт Шереметьево;В Шереметьево;11:55;Белорусский вокзал;13:07;2449495206;
234;Аэропорт Шереметьево;В Шереметьево;11:55;Савёловская;13:01;2449500839;
385;Окружная;В Шереметьево;11:57;Аэропорт Шереметьево;12:48;2449492751;
7;Киевский вокзал;Во Внуково;12:00;Аэропорт Внуково;12:33;2449491978;
86;Павелецкий вокзал;В Домодедово;12:00;Аэропорт Домодедово;12:47;2449492129;
160;Аэропорт Домодедово;В Домодедово;12:00;Павелецкий вокзал;12:48;2449495026;
197;Аэропорт Домодедово;В Домодедово;12:00;Верхние Котлы;12:41;2449495070;
348;Белорусский вокзал;В Шереметьево;12:06;Аэропорт Шереметьево;13:18;2449492678;
123;Верхние Котлы;В Домодедово;12:08;Аэропорт Домодедово;12:47;2449492222;
25;Аминьевская;Во Внуково;12:10;Аэропорт Внуково;12:33;2449494961;
424;Савёловская;В Шереметьево;12:12;Аэропорт Шереметьево;13:18;2449495266;
43;Аэропорт Внуково;Во Внуково;12:15;Киевский вокзал;12:48;2449494979;
61;Аэропорт Внуково;Во Внуково;12:15;Аминьевская;12:36;2449494997;
273;Аэропорт Шереметьево;В Шереметьево;12:25;Окружная;13:16;2449495161;
311;Аэропорт Шереметьево;В Шереметьево;12:25;Белорусский вокзал;13:37;2449495207;
235;Аэропорт Шереметьево;В Шереметьево;12:25;Савёловская;13:31;2449500892;
386;Окружная;В Шереметьево;12:27;Аэропорт Шереметьево;13:18;2449492754;
87;Павелецкий вокзал;В Домодедово;12:30;Аэропорт Домодедово;13:17;2449492131;
161;Аэропорт Домодедово;В Домодедово;12:30;Павелецкий вокзал;13:20;2449495028;
198;Аэропорт Домодедово;В Домодедово;12:30;Верхние Котлы;13:12;2449495071;
349;Белорусский вокзал;В Шереметьево;12:36;Аэропорт Шереметьево;13:48;2449492680;
124;Верхние Котлы;В Домодедово;12:38;Аэропорт Домодедово;13:17;2449492220;
425;Савёловская;В Шереметьево;12:42;Аэропорт Шереметьево;13:48;2625375208;
274;Аэропорт Шереметьево;В Шереметьево;12:55;Окружная;13:46;2449495162;
312;Аэропорт Шереметьево;В Шереметьево;12:55;Белорусский вокзал;14:07;2449495208;
236;Аэропорт Шереметьево;В Шереметьево;12:55;Савёловская;14:01;2449500951;
387;Окружная;В Шереметьево;12:57;Аэропорт Шереметьево;13:48;2449492756;
8;Киевский вокзал;Во Внуково;13:00;Аэропорт Внуково;13:33;2449492023;
88;Павелецкий вокзал;В Домодедово;13:00;Аэропорт Домодедово;13:47;2449492159;
162;Аэропорт Домодедово;В Домодедово;13:00;Павелецкий вокзал;13:46;2449495029;
199;Аэропорт Домодедово;В Домодедово;13:00;Верхние Котлы;13:39;2449495073;
350;Белорусский вокзал;В Шереметьево;13:06;Аэропорт Шереметьево;14:18;2449492681;
125;Верхние Котлы;В Домодедово;13:08;Аэропорт Домодедово;13:47;2449492223;
26;Аминьевская;Во Внуково;13:10;Аэропорт Внуково;13:33;2449494962;
426;Савёловская;В Шереметьево;13:12;Аэропорт Шереметьево;14:18;2625375209;
